business_name,contact_name,email,phone,channel
Oudh Al Raifha Attar and perfumes,,,9073775506,both
Rabian Scent,,,8777677169,both
AANGINI,,,8584943923,both
Amber Perfumes,,,7044147464,both
Neshat Perfumery House,,,9038507232,both
Haji Khuda Bukhsh Nabi Bukhsh Perfume,,,9831464606,both
Araaf Perfumes,,,9880768422,both
The Spiritual Gift,,,9831443175,both
Mehtab Perfume,,,9330136883,both
The Drug and Perfumery House,,,8697870837,both
